以下のデータは CC0 で公開可となります。,,,,,,,,"twitter,facebook,ホームページを入れて行って頂けると助かります。他はだいたい入っていますが生年月日が年までしか入っていないものがあります。10/5 higa4",,,,,,,
wikidata への登録時に「出典URL」を「http://www.dot-jp.or.jp/seijinavi/」に設定していただけるとありがたく。,,,,,,,,現在登録済み数,127,15.34%,が完了しています。,,,,
登録が終わったら wikidata Q を書いてもらえると助かります,,,,,,,,,,,,Wikidataへの登録状況,,,
wikidata,名前,姓,名,名（フリガナ）,姓（フリガナ）,性別,生年月日,Twitterアドレス,Facebookページアドレス,ホームページアドレス1,ホームページアドレス2(ブログも可),担当,登録予定日,完了日,メモ
Q11422694,国場幸之助,国場,幸之助,コウノスケ,コクバ,男,19730110,kokubkonosuke,,http://www.konosuke.com,,higa4,10/5,10/5,
Q11422753,国重徹,国重,徹,トオル,クニシゲ,男,19741123,torukunishige,,http://kunishige-toru.com/,,higa4,10/5,10/5,
Q11423241,土屋品子,土屋,品子,シナコ,ツチヤ,女,19520209,,,http://www.owls.co.jp/shinako/,,hig4,10/5,10/5,
Q11425985,城内実,城内,実,ミノル,キウチ,男,19650419,,,http://www.m-kiuchi.com/,,,,,
Q11427301,堀内詔子,堀内,詔子,ノリコ,ホリウチ,女,19651028,,,http://genkihoriuchi.com/,,,,,
Q11431868,大串正樹,大串,正樹,マサキ,オオグシ,男,19660120,Ogushi_Masaki,,http://www.m-ogushi.com,,,,,
Q11433281,大口善徳,大口,善徳,ヨシノリ,オオグチ,男,19550905,,,http://www.oguchi.gr.jp/,,,,,
Q11434738,大岡敏孝,大岡,敏孝,トシタカ,オオオカ,男,19720416,,,http://oooka.com/,,,,,
Q11438832,大西健介,大西,健介,ケンスケ,オオニシ,男,19710413,oniken0024,,http://oniken-web.jp/,,,,,
Q11438916,大西英男,大西,英男,ヒデオ,オオニシ,男,19460828,,https://www.facebook.com/0024hideo,http://www.onishi-hideo.com/,http://onishi-hideo.homepe.net/report/diary/,ikt2y,10/6,,
Q11438945,大見正,大見,正,セイ,オオミ,男,19580620,ohmisei,,,,,,,
Q11439619,大野敬太郎,大野,敬太郎,ケイタロウ,オオノ,男,19681101,,,http://keitaro-ohno.com/,,,,,
Q11446165,奥野総一郎,奥野,総一郎,ソウイチロウ,オクノ,男,19640715,,,http://www.s-okuno.jp,,,,,
Q11451405,安藤裕,安藤,裕,ヒロシ,アンドウ,男,19650328,andouhiroshi,,http://www.andouhiroshi.jp/,,,,,
