db,person,property,value
ours,Q11475894,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11477350,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11479048,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11479573,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11488572,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11496954,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11500159,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11513088,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11515287,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11518048,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11518159,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11518163,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11518220,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11518222,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11518735,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11519999,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11520430,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11522062,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11522313,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11522739,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11523004,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11523193,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11533657,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11534806,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11535033,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11536382,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11537927,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11538822,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11539493,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11539787,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11542202,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11543692,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11544051,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11544282,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11544691,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11545768,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11546026,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11546586,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11547421,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11549401,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11551703,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11552157,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11553342,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11554229,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1155448,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11555503,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11556075,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11558377,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11560960,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11561174,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11561908,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11562133,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11562188,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11563479,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11563535,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11566187,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11566681,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11568677,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11570409,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11572466,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11572647,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11574554,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11576787,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11577021,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11577186,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11577205,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11577481,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11578483,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11578505,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11578596,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11580199,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11580448,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11583883,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11585604,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11585840,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11586782,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11589528,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11589542,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11590601,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11592023,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11593023,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11596567,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11596723,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11597257,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11597430,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11598974,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11599306,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11602573,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11603860,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11606064,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11609955,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1161024,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11614128,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11616618,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11619136,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11619261,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11620603,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11622647,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11622818,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11623218,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11624673,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11624750,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11627955,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11629289,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11629761,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11629931,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11633044,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11634137,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11637002,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11637774,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11638274,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11638747,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11642258,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11644760,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11644934,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11645002,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11646016,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11646177,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11646784,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11647123,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11647681,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11648868,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11649031,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11649189,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11651021,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11651619,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11651845,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11652221,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11653978,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11654965,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11656652,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11657178,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11657599,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11657813,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11661236,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11661965,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11667848,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11668691,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11670038,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11670300,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11671375,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11671542,P21,http://www.wikidata.org/entity/Q6581072
ours,Q11673487,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11677736,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11678114,P21,http://www.wikidata.org/entity/Q6581097
ours,Q11679075,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1207174,P21,http://www.wikidata.org/entity/Q6581097
ours,Q122465,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1315762,P21,http://www.wikidata.org/entity/Q6581097
ours,Q132280,P21,http://www.wikidata.org/entity/Q6581097
ours,Q132345,P21,http://www.wikidata.org/entity/Q6581097
ours,Q132596,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1335527,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1336805,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1340817,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1478311,P21,http://www.wikidata.org/entity/Q6581097
ours,Q15220933,P21,http://www.wikidata.org/entity/Q6581097
ours,Q152728,P21,http://www.wikidata.org/entity/Q6581072
ours,Q1620229,P21,http://www.wikidata.org/entity/Q6581097
ours,Q16263623,P21,http://www.wikidata.org/entity/Q6581097
ours,Q16264323,P21,http://www.wikidata.org/entity/Q6581097
ours,Q16264927,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1654408,P21,http://www.wikidata.org/entity/Q6581072
ours,Q1654639,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1655220,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1655453,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1655755,P21,http://www.wikidata.org/entity/Q6581072
ours,Q1656878,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1656896,P21,http://www.wikidata.org/entity/Q6581097
ours,Q16769971,P21,http://www.wikidata.org/entity/Q6581097
ours,Q16770033,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1689655,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1704924,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1704969,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1705028,P21,http://www.wikidata.org/entity/Q6581072
ours,Q17158474,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17158549,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17158714,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17158871,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17159494,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17160031,P21,http://www.wikidata.org/entity/Q6581072
ours,Q17160872,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17219387,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17220479,P21,http://www.wikidata.org/entity/Q6581097
ours,Q17223599,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1724004,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1737905,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1737907,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1739044,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1761759,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18458881,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18669603,P21,http://www.wikidata.org/entity/Q6581072
ours,Q18700742,P21,http://www.wikidata.org/entity/Q6581072
ours,Q18700919,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18701018,P21,http://www.wikidata.org/entity/Q6581072
ours,Q18817349,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18817567,P21,http://www.wikidata.org/entity/Q6581072
ours,Q18817650,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18817798,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18817877,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18817972,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18818065,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18818101,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18818124,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18818128,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18818200,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18818207,P21,http://www.wikidata.org/entity/Q6581097
ours,Q18818221,P21,http://www.wikidata.org/entity/Q6581072
ours,Q18818315,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1906668,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1949760,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1965622,P21,http://www.wikidata.org/entity/Q6581097
ours,Q1995125,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20039047,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20039110,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20039172,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20039502,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20039675,P21,http://www.wikidata.org/entity/Q6581072
ours,Q20040516,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20040828,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20041303,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20041482,P21,http://www.wikidata.org/entity/Q6581097
ours,Q20041786,P21,http://www.wikidata.org/entity/Q6581097
ours,Q212400,P21,http://www.wikidata.org/entity/Q6581097
ours,Q21655809,P21,http://www.wikidata.org/entity/Q6581097
ours,Q21655823,P21,http://www.wikidata.org/entity/Q6581097
ours,Q21655857,P21,http://www.wikidata.org/entity/Q6581097
ours,Q21701087,P21,http://www.wikidata.org/entity/Q6581097
ours,Q21703015,P21,http://www.wikidata.org/entity/Q6581097
ours,Q23907516,P21,http://www.wikidata.org/entity/Q6581097
ours,Q2394829,P21,http://www.wikidata.org/entity/Q6581097
ours,Q24340430,P21,http://www.wikidata.org/entity/Q6581097
ours,Q2484652,P21,http://www.wikidata.org/entity/Q6581097
ours,Q24875305,P21,http://www.wikidata.org/entity/Q6581097
ours,Q2506910,P21,http://www.wikidata.org/entity/Q6581097
ours,Q2576940,P21,http://www.wikidata.org/entity/Q6581097
ours,Q2576975,P21,http://www.wikidata.org/entity/Q6581097
ours,Q263777,P21,http://www.wikidata.org/entity/Q6581097
ours,Q265174,P21,http://www.wikidata.org/entity/Q6581097
ours,Q276275,P21,http://www.wikidata.org/entity/Q6581072
ours,Q30144920,P21,http://www.wikidata.org/entity/Q6581097
ours,Q3136350,P21,http://www.wikidata.org/entity/Q6581097
ours,Q337406,P21,http://www.wikidata.org/entity/Q6581097
ours,Q337507,P21,http://www.wikidata.org/entity/Q6581097
ours,Q337762,P21,http://www.wikidata.org/entity/Q6581097
ours,Q3435725,P21,http://www.wikidata.org/entity/Q6581097
ours,Q3482658,P21,http://www.wikidata.org/entity/Q6581097
ours,Q3547232,P21,http://www.wikidata.org/entity/Q6581097
ours,Q359480,P21,http://www.wikidata.org/entity/Q6581097
ours,Q360395,P21,http://www.wikidata.org/entity/Q6581097
ours,Q369170,P21,http://www.wikidata.org/entity/Q6581072
ours,Q370385,P21,http://www.wikidata.org/entity/Q6581072
ours,Q382089,P21,http://www.wikidata.org/entity/Q6581097
ours,Q382311,P21,http://www.wikidata.org/entity/Q6581097
ours,Q388496,P21,http://www.wikidata.org/entity/Q6581097
ours,Q405527,P21,http://www.wikidata.org/entity/Q6581097
ours,Q405533,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41618899,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41693423,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41693816,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41693822,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41698739,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41767957,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41768312,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41768409,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41768435,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41768440,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41769795,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769890,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769891,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769946,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769947,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769948,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769950,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769951,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41769952,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41769955,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770033,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770036,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770037,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770041,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770042,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770043,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770226,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770228,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770229,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770230,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770231,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770233,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770235,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770236,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770238,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770239,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770450,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770452,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770455,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770456,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770457,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770459,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770460,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770463,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770465,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770566,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770567,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770570,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770571,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770572,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770573,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770575,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770577,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770579,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770581,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770582,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770583,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770584,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770585,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770587,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770589,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770590,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770593,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770594,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770595,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770599,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770601,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770602,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770603,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770605,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770606,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770609,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770610,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770611,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770613,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770614,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770615,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770616,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770618,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770619,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770620,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770622,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770623,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770624,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770625,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770626,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770628,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770630,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770631,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770632,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770634,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770635,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770636,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770639,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770640,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770642,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770643,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770646,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770647,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770649,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770650,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770651,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770652,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770653,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770655,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770656,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770657,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770658,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770659,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770661,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770662,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770664,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770665,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770666,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770667,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770669,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770670,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770671,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770673,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770675,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770677,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770678,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770679,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770680,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770682,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770685,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770686,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770687,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770688,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770689,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770690,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770692,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770694,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770695,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770696,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770697,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770698,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770700,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770702,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770703,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770705,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770706,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770708,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770709,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770711,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770712,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770714,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770715,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770719,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770721,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770722,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770723,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770724,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770725,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770726,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770727,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770729,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770730,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770731,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770734,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770735,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770737,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770740,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770741,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770742,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770743,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770746,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770747,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770748,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770750,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770751,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770753,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770754,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770755,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770761,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770763,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770764,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770766,P21,http://www.wikidata.org/entity/Q6581072
ours,Q41770770,P21,http://www.wikidata.org/entity/Q6581097
ours,Q41770773,P21,http://www.wikidata.org/entity/Q6581097
