解説→,https://hackmd.io/OwFgxgnBBmCMsFoBMATaBWBIkEMUKgA5EAGCFAUwDYwkR0SBmdIA,,,,
進捗率(完了日をカウント)→,42.61%,,,,
Wikidata ID,name,,,,
UI用DBカラム名,name_full,name_last,name_first,,
wikdiata_concept,label,,,,
wikidata,名前（フル）,名前（姓）,名前（名）,,
Q41770711,樋口博康,樋口,博康,Loading...,
Q41770712,藤巻健太,藤巻,健太,Loading...,
Q5770251,松野博一,松野,博一,Loading...,
Q11472782,岡島一正,岡島,一正,Loading...,
Q11544691,櫛渕万里,櫛渕,万里,Loading...,
Q41777902,佐藤浩,,,Loading...,
Q41770714,深津俊郎,深津,俊郎,Loading...,
Q57647,野田佳彦,野田,佳彦,Loading...,
Q41770715,木村哲也,木村,哲也,Loading...,
Q1965622,薗浦健太郎,薗浦,健太郎,Loading...,
Q11470238,山田厚史,山田,厚史,Loading...,
Q11574554,生方幸夫,生方,幸夫,Loading...,
Q11562133,渡辺博道,渡辺,博道,Loading...,
Q41770719,星健太郎,星,健太郎,Loading...,
Q41770721,渡部隆夫,渡部,隆夫,Loading...,
Q11679075,齋藤健,齋藤,健,Loading...,
Q41770722,石塚貞通,石塚,貞通,Loading...,
Q6381578,太田和美,太田,和美,Loading...,
Q41770723,小野里定良,小野里,定良,Loading...,
Q8056290,桜田義孝,桜田,義孝,Loading...,
Q11446165,奥野総一郎,奥野,総一郎,Loading...,
Q16263623,秋本真利,秋本,真利,Loading...,別人？
Q41770724,鴨志田安代,鴨志田,安代,Loading...,
Q41770698,笠原正実,笠原,正実,Loading...,
Q11633044,谷田川元,谷田川,元,Loading...,
Q926370,林幹雄,林,幹雄,Loading...,
Q41770700,椎名史明,椎名,史明,Loading...,
Q41770702,多ケ谷亮,多ケ谷,亮,Loading...,
Q1133194,森英介,森,英介,Loading...,
Q41770703,大西航,大西,航,Loading...,
Q41770705,皆川眞一郎,皆川,眞一郎,Loading...,
Q1132836,浜田靖一,浜田,靖一,Loading...,
Q18817567,斉藤和子,斉藤,和子,Loading...,
Q11580448,白須賀貴樹,白須賀,貴樹,Loading...,
Q41770043,原口実季,原口,実季,Loading...,
Q806947,海江田万里,海江田,万里,Loading...,
Q11470608,山田美樹,山田,美樹,Loading...,
Q41770239,松尾明弘,松尾,明弘,Loading...,
Q11638274,辻清人,辻,清人,Loading...,
Q41770450,香西克介,香西,克介,Loading...,
Q506730,石原宏高,石原,宏高,Loading...,
Q1336805,松原仁,松原,仁,Loading...,
Q11373555,井戸正枝,井戸,正枝,Loading...,
Q6782264,平将明,平,将明,Loading...,
Q41770452,青山昂平,青山,昂平,Loading...,
Q11496954,手塚仁雄,手塚,仁雄,Loading...,
Q6389383,若宮健嗣,若宮,健嗣,,
Q6864590,福田峰之,福田,峰之,Loading...,
Q18700919,落合貴之,落合,貴之,Loading...,
Q41770457,中岡茉妃,中岡,茉妃,Loading...,
Q7677226,越智隆雄,越智,隆雄,Loading...,
Q5508556,松本文明,松本,文明,Loading...,
Q263777,長妻昭,長妻,昭,Loading...,
Q11518163,木内孝胤,木内,孝胤,Loading...,
Q41770460,長内史子,長内,史子,Loading...,
Q41770463,吉田晴美,吉田,晴美,Loading...,
Q992930,石原伸晃,石原,伸晃,Loading...,
Q41770465,原純子,原,純子,Loading...,
Q11619136,菅原一秀,菅原,一秀,Loading...,
Q20040828,鈴木隼人,鈴木,隼人,Loading...,別人？
Q41769890,岸良信,岸,良信,Loading...,
Q11616618,若狭勝,若狭,勝,Loading...,
Q41769891,吉井利光,吉井,利光,Loading...,
Q41769795,鈴木庸介,鈴木,庸介,Loading...,
Q41769947,前田順一郎,前田,順一郎,Loading...,
Q1655220,下村博文,下村,博文,Loading...,
Q18669603,池内沙織,池内,沙織,Loading...,
Q337406,太田昭宏,太田,昭宏,Loading...,
Q18669603,池内沙織,池内,沙織,Loading...,
Q41770466,北条智彦,北条,智彦,Loading...,
Q41769948,祖父江元希,祖父江,元希,Loading...,
Q41769950,北條智彦,北條,智彦,Loading...,
Q730991,鴨下一郎,鴨下,一郎,Loading...,別人？
Q41769951,阿藤和之,阿藤,和之,Loading...,
Q41769952,清井美穂,清井,美穂,Loading...,
Q6842917,松島みどり,松島,みどり,Loading...,
Q7850039,秋元司,秋元,司,Loading...,
Q41769955,吉田年男,吉田,年男,Loading...,
Q11535033,柿沢未途,柿沢,未途,Loading...,
Q41770033,猪野隆,猪野,隆,Loading...,
Q11396609,初鹿明博,初鹿,明博,Loading...,別人？
Q47846,菅直人,菅,直人,Loading...,
Q11438916,大西英男,大西,英男,,
Q41770036,新井杉生,新井,杉生,Loading...,
Q6378065,平沢勝栄,平沢,勝栄,Loading...,
Q6782686,土屋正忠,土屋,正忠,Loading...,
Q41770041,杉下茂雄,杉下,茂雄,Loading...,
Q2576975,末松義規,末松,義規,Loading...,
Q5680924,松本洋平,松本,洋平,Loading...,
Q18818200,宮本徹,宮本,徹,Loading...,
Q11518222,木原誠二,木原,誠二,Loading...,
Q41770228,鹿野晃,鹿野,晃,,
Q4700952,長島昭久,長島,昭久,Loading...,
Q41777971,小糸健介,,,Loading...,
Q11462993,小田原潔,小田原,潔,Loading...,
Q41770226,阿部真,阿部,真,Loading...,
Q11470885,山花郁夫,山花,郁夫,Loading...,
Q614476,伊藤達也,伊藤,達也,Loading...,
Q41770230,伊藤俊輔,伊藤,俊輔,,
Q11458942,小倉將信,小倉,將信,Loading...,
Q41770229,松村亮佑,松村,亮佑,Loading...,
Q41770231,飯田美弥子,飯田,美弥子,Loading...,
Q41770233,高橋斉久,高橋,斉久,Loading...,
Q6426211,萩生田光一,萩生田,光一,Loading...,
Q978256,小沢鋭仁,小沢,鋭仁,Loading...,
Q41770235,井上宣,井上,宣,,
Q41770236,山下容子,山下,容子,Loading...,
Q7497583,井上信治,井上,信治,Loading...,
Q20040516,篠原豪,篠原,豪,Loading...,
Q6311513,松本純,松本,純,Loading...,
Q41770740,大貫清文,大貫,清文,Loading...,
Q41770741,高橋野枝,高橋,野枝,Loading...,
Q122465,菅義偉,菅,義偉,Loading...,
Q41770742,釘丸進,釘丸,進,Loading...,
Q41770743,壱岐愛子,壱岐,愛子,Loading...,
Q11400194,勝又恒一郎,勝又,恒一郎,Loading...,
Q5637084,小此木八郎,小此木,八郎,Loading...,
Q11469130,山本朋広,山本,朋広,Loading...,
Q41770746,早稲田夕季,早稲田,夕季,Loading...,
Q1737907,浅尾慶一郎,浅尾,慶一郎,Loading...,
Q41770747,横山征吾,横山,征吾,Loading...,
Q6746574,坂井学,坂井,学,Loading...,
Q11661965,青柳陽一郎,青柳,陽一郎,Loading...,
Q11359720,上田勇,上田,勇,Loading...,
Q41770750,串田誠一,串田,誠一,Loading...,
Q41770751,若林靖久,若林,靖久,Loading...,
Q41770753,中谷一馬,中谷,一馬,Loading...,
Q6383909,鈴木馨祐,鈴木,馨祐,Loading...,
Q41770754,加藤リカ,加藤,リカ,Loading...,
Q6389323,江田憲司,江田,憲司,Loading...,
Q11357294,三谷英弘,三谷,英弘,Loading...,
Q11364144,中山展宏,中山,展宏,Loading...,
Q41770755,斎藤温,斎藤,温,Loading...,
Q5770152,笠浩史,笠,浩史,Loading...,
Q11578505,畑野君枝,畑野,君枝,Loading...,
Q6381615,田中和徳,田中,和徳,Loading...,
Q41770726,瀬戸和弘,瀬戸,和弘,Loading...,
Q661410,小泉進次郎,小泉,進次郎,Loading...,
Q41770883,真白リョウ,真白,リョウ,Loading...,
Q41770727,圷孝行,圷,孝行,Loading...,
Q516232,阿部知子,阿部,知子,Loading...,
Q11513088,星野剛士,星野,剛士,Loading...,別人？
Q41770729,岡崎裕,岡崎,裕,Loading...,
Q41770730,太栄志,太,栄志,Loading...,
Q418675,甘利明,甘,利明,Loading...,
