斉藤　鉄夫,斉藤鉄夫,斉藤,鉄夫,公明党,中国ブロック,,前,65,https://twitter.com/saitotetsuo,https://www.facebook.com/komei.tetsuosaito/,https://www.saitotetsuo.com/,元環境相,65歳,http://shugiin.go2senkyo.com/hirei/chugoku/3/
桝屋　敬悟,桝屋敬悟,桝屋,敬悟,公明党,中国ブロック,,前,66,,https://www.facebook.com/masuya.keigo.komei/,http://www.komei.or.jp/km/masuya-keigo/,元厚生労働副大臣,66歳,http://shugiin.go2senkyo.com/hirei/chugoku/3/
日下　正喜,日下正喜,日下,正喜,公明党,中国ブロック,,新,51,,,,党岡山県本部事務長,51歳,http://shugiin.go2senkyo.com/hirei/chugoku/3/
大平　喜信,大平喜信,大平,喜信,日本共産党,中国ブロック,,前,39,https://twitter.com/tekuteku_diary,https://www.facebook.com/ohirayoshinobu,http://www.yoshinobu-ohira.net/,日本共産党党広島県委員会常任委員青年学生部長,39歳,http://shugiin.go2senkyo.com/hirei/chugoku/4/
垣内　京美,垣内京美,垣内,京美,日本共産党,中国ブロック,,新,51,https://twitter.com/haruka_tubasa,https://www.facebook.com/gu.jingmei,,党岡山県書記長、准中央委員,51歳,http://shugiin.go2senkyo.com/hirei/chugoku/4/
藤本　一規,藤本一規,藤本,一規,日本共産党,中国ブロック,,新,52,https://twitter.com/1218Fuji,https://www.facebook.com/kazunori.fujimoto.587,http://ikki.jcp-web.net/,前山口県議、党北南地区副委員長,52歳,http://shugiin.go2senkyo.com/hirei/chugoku/4/
岩田　剛,岩田剛,岩田,剛,日本共産党,中国ブロック,,新,36,,https://www.facebook.com/people/%E5%B2%A9%E7%94%B0%E5%89%9B/100009478396899,,党島根役員,36歳,http://shugiin.go2senkyo.com/hirei/chugoku/4/
灰岡　香奈,灰岡香奈,灰岡,香奈,日本維新の会,中国ブロック,,新,34,https://twitter.com/kana_628,https://www.facebook.com/kana.haioka?fref=ts,https://haioka-kana.jimdo.com/,元和木町議,34歳,http://shugiin.go2senkyo.com/hirei/chugoku/5/
空本　誠喜,空本誠喜,空本,誠喜,日本維新の会,中国ブロック,,元,53,https://twitter.com/soramoto_seiki,https://www.facebook.com/profile.php?id=100022329252387,http://www.soramoto.com/,技術指導会社長,53歳,http://shugiin.go2senkyo.com/hirei/chugoku/5/
今枝　仁,今枝仁,今枝,仁,日本維新の会,中国ブロック,,新,47,https://twitter.com/imaedajin,https://www.facebook.com/imaedajin.hiroshima3ku/?fref=ts,http://imajin.jp/,弁護士,47歳,http://shugiin.go2senkyo.com/hirei/chugoku/5/
福原　宗男,福原宗男,福原,宗男,社民党,中国ブロック,,新,70,,,,社民県連代表　益田市議,70歳,http://shugiin.go2senkyo.com/hirei/chugoku/6/
奥野　信亮,奥野信亮,奥野,信亮,自由民主党,近畿ブロック,,前,73,,https://www.facebook.com/okuno.shinsuke?fref=ts,https://www.okunoshinsuke.jp/,日産自動車取締役,73歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
神谷　昇,神谷昇,神谷,昇,自由民主党,近畿ブロック,,前,68,https://twitter.com/noboru_kamitani,https://www.facebook.com/noborukamitani412/,http://noboru-kamitani.com/,元泉大津市長,68歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
佐藤　ゆかり,佐藤ゆかり,佐藤,ゆかり,自由民主党,近畿ブロック,,前,56,https://twitter.com/SatoYukari,https://www.facebook.com/satoyukari.jp/,http://www.satoyukari.jp/,元経産政務官,56歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
木村　弥生,木村弥生,木村,弥生,自由民主党,近畿ブロック,,前,52,https://twitter.com/kimura841,https://www.facebook.com/kimuyayo,http://www.kimuyayo.jp/,看護師,52歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
岡下　昌平,岡下昌平,岡下,昌平,自由民主党,近畿ブロック,,前,42,,https://www.facebook.com/shohei.okashita,http://okashita-shohei.com/,元府議,42歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
谷川　とむ,谷川とむ,谷川,とむ,自由民主党,近畿ブロック,,前,41,https://twitter.com/Tom_Tanigawa,https://www.facebook.com/tanigawa.tom,http://www.tanigawatom.com,元議員秘書,41歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
門　博文,門博文,門,博文,自由民主党,近畿ブロック,,前,52,https://twitter.com/kado_wakayama,https://www.facebook.com/kado.warau/,http://www.warau-kado.jp/,元会社役員,52歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
大隈　和英,大隈和英,大隈,和英,自由民主党,近畿ブロック,,前,48,,https://www.facebook.com/okuma10,http://www.okuma10.com/,医師,48歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
繁本　護,繁本護,繁本,護,自由民主党,近畿ブロック,,新,44,https://twitter.com/shigeport,https://www.facebook.com/MamoruShigemoto/,http://shigemoto.kyoto,元国交省職員,44歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
湯峯　理之,湯峯理之,湯峯,理之,自由民主党,近畿ブロック,,新,57,,,,自民党和歌山県連事務局長,57歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
安藤　裕,安藤裕,安藤,裕,自由民主党,近畿ブロック,,前,52,https://twitter.com/andouhiroshi,https://www.facebook.com/office.ando.hiroshi/,https://www.andouhiroshi.jp/,元法務委理事,52歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
石田　真敏,石田真敏,石田,真敏,自由民主党,近畿ブロック,,前,65,,https://www.facebook.com/%E8%A1%86%E8%AD%B0%E9%99%A2%E8%AD%B0%E5%93%A1-%E7%9F%B3%E7%94%B0%E7%9C%9F%E6%95%8F-593339197343271/,http://ishida-masatoshi.net/,元財務副大臣,65歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
上野　賢一郎,上野賢一郎,上野,賢一郎,自由民主党,近畿ブロック,,前,52,https://twitter.com/Ueno_Kenichiro,https://www.facebook.com/uenokenichiro/,https://www.uenokenichiro.jp/,財務副大臣,52歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
大岡　敏孝,大岡敏孝,大岡,敏孝,自由民主党,近畿ブロック,,前,45,,https://www.facebook.com/toshitaka.ooka,https://oooka.com/,元財務政務官,45歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
大串　正樹,大串正樹,大串,正樹,自由民主党,近畿ブロック,,前,51,https://twitter.com/Ogushi_Masaki,https://www.facebook.com/masaki.ogushi,http://m-ogushi.com/,経産政務官,51歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
大塚　高司,大塚高司,大塚,高司,自由民主党,近畿ブロック,,前,53,,https://www.facebook.com/takashi.otsuka.982?fref=ts,https://www.otsuka001.com/,議運委理事,53歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
大西　宏幸,大西宏幸,大西,宏幸,自由民主党,近畿ブロック,,前,50,https://twitter.com/onishi_hiroyuki,https://www.facebook.com/%E5%A4%A7%E8%A5%BF%E3%81%B2%E3%82%8D%E3%82%86%E3%81%8D%E5%AE%8F%E5%B9%B8-192410924150376/,http://onishihiroyuki.jp/,元大阪市議,50歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
北川　知克,北川知克,北川,知克,自由民主党,近畿ブロック,,前,65,https://twitter.com/k_tomokatsu,https://www.facebook.com/tomokatsu.kitagawa,http://www.k-tomokatsu.com/,元環境副大臣,65歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
小寺　裕雄,小寺裕雄,小寺,裕雄,自由民主党,近畿ブロック,,新,57,https://twitter.com/Koteranran,https://www.facebook.com/profile.php?id=100004085752443&fref=ts,http://koterahiroo.jp/,県議,57歳,http://shugiin.go2senkyo.com/hirei/hkinki/1/
