qname,url,type,ident,dst
Q41805251,https://www.facebook.com/yoshiyuki.kitazumi,profile,100003500957172,https://www.facebook.com/yoshiyuki.kitazumi
Q11423241,https://www.facebook.com/%E5%9C%9F%E5%B1%8B%E5%93%81%E5%AD%90%E3%81%A4%E3%81%A1%E3%82%84%E5%93%81%E5%AD%90%E4%BA%8B%E5%8B%99%E6%89%80-329738140769748/,page,329738140769748,https://www.facebook.com/%E5%9C%9F%E5%B1%8B%E5%93%81%E5%AD%90%E3%81%A4%E3%81%A1%E3%82%84%E5%93%81%E5%AD%90%E4%BA%8B%E5%8B%99%E6%89%80-329738140769748/
Q41770677,https://www.facebook.com/kyoko.nae,profile,100005772820123,https://www.facebook.com/kyoko.nae
Q11649189,https://www.facebook.com/yosihiro.suzuki.52,profile,100004228207442,https://www.facebook.com/yosihiro.suzuki.52
Q11649189,https://www.facebook.com/suzukibou,page,621583274897571,https://www.facebook.com/suzukibou/
Q41770678,https://www.facebook.com/hiro.hata.908,profile,100002868771900,https://www.facebook.com/hiro.hata.908
Q41770678,https://www.facebook.com/hatanohiroshisaitama14/,page,1116519758457314,https://www.facebook.com/hatanohiroshisaitama14/
Q11353993,https://www.facebook.com/hiromi.mitsubayashi,profile,100002340576944,https://www.facebook.com/hiromi.mitsubayashi
Q18700742,https://www.facebook.com/saeko.umemura.3,profile,100004559563199,https://www.facebook.com/saeko.umemura.3
Q18700742,https://www.facebook.com/umemurasaeko,page,926537200710134,https://www.facebook.com/umemurasaeko/
Q7426418,https://www.facebook.com/takayama.web/,page,1658660964354322,https://www.facebook.com/takayama.web/
Q41777900,https://www.facebook.com/hideaki.takahashi.75470,profile,100002121978516,https://www.facebook.com/hideaki.takahashi.75470
Q41777900,https://www.facebook.com/takahashihideaki0906/,page,237248326629279,https://www.facebook.com/takahashihideaki0906/
Q7385322,https://www.facebook.com/ryosei.tanaka.7,profile,100003555997534,https://www.facebook.com/ryosei.tanaka.7
Q41770708,https://www.facebook.com/takasi.oono,profile,100001924815720,https://www.facebook.com/takasi.oono
Q41770708,https://www.facebook.com/oono.takasi.jcp/,page,349523622093681,https://www.facebook.com/oono.takasi.jcp/
Q6360573,https://www.facebook.com/tajimakaname/,page,346098178842219,https://www.facebook.com/tajimakaname/
