富川昇,富川 昇,とみかわ のぼる,,比例九州・沖縄ブロック,,,,九州比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
前田浩一,前田 浩一,まえだ こういち,,比例九州・沖縄ブロック,,,,九州比例ブロック副支部長,https://candidates.hr-party.jp/elections/2017/1185/
森山よしのり,森山 よしのり,もりやま よしのり,北海道5区,,https://www.facebook.com/yoshinori.moriyama.7509,https://twitter.com/YosshiiMoriyama,http://moriyama-yoshinori-hrp.blogspot.jp/,幸福実現党 北海道第5選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
三国ゆうき,三国 ゆうき,みくに ゆうき,青森3区,,https://www.facebook.com/people/三国-ゆうき/100011203660602,https://twitter.com/mikuni_yuki,http://ameblo.jp/mikuniyuki/,幸福実現党 青森第4選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
しろとり良太,しろとり 良太,しろとりりょうた,山形3区,,https://www.facebook.com/ryota.shirotori,https://twitter.com/ryotashirotori,http://ameblo.jp/shirotori-ryota/,幸福実現党 山形県本部代表(兼)山形県第3支部長,https://candidates.hr-party.jp/elections/2017/1185/
油井哲史,油井 哲史,ゆい てつし,宮城1区,,https://www.facebook.com/tetsushi.yui,https://twitter.com/YuiTetsushi,http://ameblo.jp/tetsushiyui/,幸福実現党 宮城県本部代表(兼)宮城第1選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
かわべ賢一,かわべ 賢一,かわべ けんいち,茨城1区,,https://www.facebook.com/profile.php?id=100002921750076,https://twitter.com/kawabekenichi,,幸福実現党 茨城県本部代表 (兼) 茨城第1選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
いしわた剛,いしわた 剛,いしわた つよし,栃木3区,,https://www.facebook.com/profile.php?id=100014235768852,,https://ameblo.jp/ishiwata-tsuyoshi/,幸福実現党 栃木第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
飯田たけし,飯田 たけし,いいだ たけし,埼玉3区,,https://www.facebook.com/takeshi.iida.90,,http://iidatakeshi.blog.fc2.com/,幸福実現党 埼玉第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
いき愛子,いき 愛子,いき あいこ,神奈川3区,,https://www.facebook.com/iki.aiko,https://twitter.com/ikiaiko,http://ameblo.jp/ikiaiko/,幸福実現党 神奈川第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
にしわき愛,にしわき 愛,にしわき あい,山梨1区,,https://www.facebook.com/ai.nishiwaki.hrp/,https://twitter.com/AiNishiwaki,http://ameblo.jp/ai-nishiwaki/,幸福実現党 山梨第1選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
原口みき,原口 みき,はらぐち みき,東京1区,,,,,幸福実現党 東京第1選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
中岡まき,中岡 まき,なかおか まき,東京6区,,https://www.facebook.com/profile.php?id=100014180830459,https://twitter.com/nakaokamaki,https://ameblo.jp/maki-hrp/,幸福実現党 東京第6選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
吉井としみつ,吉井 としみつ,よしい としみつ,東京10区,,https://www.facebook.com/toshimitsu.yoshii.7,https://twitter.com/toshi_yoshii777,http://ameblo.jp/toshi-yoshii777/,幸福実現党 東京都本部代表（兼）東京第10選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
せいいみほ,せいい みほ,せいい みほ,東京14区,,https://www.facebook.com/seii.miho/,https://twitter.com/mihotanii,,幸福実現党 東京第14選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
笠原れいか,笠原 れいか,かさはら れいか,新潟5区,,https://www.facebook.com/kasahara.reika/,https://twitter.com/kasahara_reika,,幸福実現党 新潟第5選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
みやもとさとし,みやもと さとし,みやもと さとし,石川2区,,https://www.facebook.com/satoshi.miyamoto.52,https://twitter.com/satoshimiyamoto,,幸福実現党 石川県本部代表代行（兼）石川県第2支部長,https://candidates.hr-party.jp/elections/2017/1185/
及川ゆきひさ,及川 ゆきひさ,おいかわ ゆきひさ,長野3区,,,http://twitter.com/yukiatkanagawa,,幸福実現党 外務局長 幸福実現党 長野県本部代表（兼）長野第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
のはらのりこ,のはら のりこ,のはら のりこ,岐阜1区,,,,,,https://candidates.hr-party.jp/elections/2017/1185/
坂本マキ,坂本 マキ,さかもと まき,三重3区,,https://www.facebook.com/maki.sakamoto.52,https://twitter.com/maki1868/with_replies,http://sakamotomakii.blog.fc2.com/,幸福実現党 三重県本部代表代行（兼）三重第3選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
荒川まさし,荒川 まさし,あらかわ まさし,滋賀2区,,https://www.facebook.com/people/Masashi-Arakawa/100005211330715,https://twitter.com/mkynet1975,http://ameblo.jp/kerykeion777/,幸福実現党 滋賀第2選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
えん田ゆき,えん田 ゆき,えんだ ゆき,京都4区,,https://www.facebook.com/profile.php?id=100008449007902,,https://ameblo.jp/cokucoku2525/,幸福実現党 京都第4選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
数森けいご,数森  けいご,かずもり けいご,大阪5区,,https://www.facebook.com/keigo.kazumori?fref=ts,https://twitter.com/kazumokeigo,http://ameblo.jp/nfk-go/,幸福実現党 大阪第5選挙区支部長,https://candidates.hr-party.jp/elections/2017/1185/
