Wikidata ID,name,,,name in hiragana,party short name,prefecuture code for sort key,,area 1(proportionally represented constituency),area 2(small electoral district),gender,birthday,age(calculated),,image,,Facebook profile ID,official Facebook page,LINE,YouTube channel ID,,official site,e-mail,official blog,described at URL,place of birth,biography,,occupation,position held,father,spouse,memorandom,Wikidata ID（参考情報）,Wikipedia URL（参考情報）,,,
Q20041481,河野 義博,,,かわの よしひろ,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26043933,木戸口 英司,,,きどぐち えいじ,希望,,,,岩手,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8056232,木村 義雄,,,きむら よしお,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q14778194,吉良 よし子 [吉良 佳子],,,きら よしこ,共産,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11387640,儀間 光男,,,ぎま みつお,維新,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17129442,北村 経夫,,,きたむら つねお,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26043959,熊野 正士,,,くまの せいし,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17130003,倉林 明子,,,くらばやし あきこ,共産,,,,京都,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q418691,郡司 彰,,,ぐんじ あきら,無所属,,,,茨城,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26043802,こやり 隆史 [小鑓 隆史],,,こやり たかし,自民,,,,滋賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q418771,小池 晃,,,こいけ あきら,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11463616,小西 洋之,,,こにし ひろゆき,民進,,,,千葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6138461,小林 正夫,,,こばやし まさお,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17157982,古賀 友一郎,,,こが ゆういちろう,自民,,,,長崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11411630,古賀 之士,,,こが ゆきひと,民進,,,,福岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17130344,上月 良祐,,,こうづき りょうすけ,自民,,,,茨城,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6444691,行田 邦子 [山崎 邦子],,,こうだ くにこ,無ク,,,,埼玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q434037,鴻池 祥肇,,,こうのいけ よしただ,自民,,,,兵庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17158850,佐々木 さやか [山口 さやか],,,ささき さやか,公明,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28682073,佐藤 啓,,,さとう けい,自民,,,,奈良,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7046121,佐藤 信秋,,,さとう のぶあき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5361574,佐藤 正久,,,さとう まさひさ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11500523,斎藤 嘉隆,,,さいとう よしたか,民進,,,,愛知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17158633,酒井 庸行,,,さかい やすゆき,自民,,,,愛知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q939558,櫻井 充,,,さくらい みつる,民進,,,,宮城,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26045720,里見 隆治,,,さとみ りゅうじ,公明,,,,愛知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3546202,山東 昭子,,,さんとう あきこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11561189,清水 貴之,,,しみず たかゆき,維新,,,,兵庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26043982,自見 はなこ [自見 英子],,,じみ はなこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5770256,芝 博一,,,しば ひろかず,民進,,,,三重,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17159497,島田 三郎,,,しまだ さぶろう,自民,,,,島根,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17159512,島村 大,,,しまむら だい,自民,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27150761,進藤 金日子,,,しんどう かねひこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6345808,榛葉 賀津也,,,しんば かづや,民進,,,,静岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7497773,末松 信介,,,すえまつ しんすけ,自民,,,,兵庫,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17159888,杉 久武,,,すぎ ひさたけ,公明,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11521820,杉尾 秀哉,,,すぎお ひでや,民進,,,,長野,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5771167,世耕 弘成,,,せこう ひろしげ,自民,,,,和歌山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6782441,関口 昌一,,,せきぐち まさかず,自民,,,,埼玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11422821,そのだ 修光 [園田 修光],,,そのだ しゅうこう,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6782781,田名部 匡代,,,たなぶ まさよ,民進,,,,青森,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11576938,田村 智子,,,たむら ともこ,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1091221,伊達 忠一,,,だて ちゅういち,無所属,,,,北海道,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6849902,大門 実紀史,,,だいもん みきし,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11673208,高階 恵美子,,,たかがい えみこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044639,高木 かおり [高木 佳保里],,,たかぎ かおり,維新,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26045246,高瀬 弘美 [藤井 弘美],,,たかせ ひろみ,公明,,,,福岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17160540,高野 光二郎,,,たかの こうじろう,自民,,,,高知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11671042,高橋 克法,,,たかはし かつのり,自民,,,,栃木,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16294651,滝沢 求,,,たきさわ もとめ,自民,,,,青森,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17160669,滝波 宏文,,,たきなみ ひろふみ,自民,,,,福井,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,竹内 真二,,,たけうち しんじ,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q32968,竹谷 とし子 [菊地 とし子],,,たけや としこ,公明,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26043945,武田 良介,,,たけだ りょうすけ,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6385310,武見 敬三,,,たけみ けいぞう,自民,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17160794,辰巳 孝太郎,,,たつみ こうたろう,共産,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6782266,谷合 正明,,,たにあい まさあき,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11533971,柘植 芳文,,,つげ よしふみ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5986305,塚田 一郎,,,つかだ いちろう,自民,,,,新潟,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8062688,鶴保 庸介,,,つるほ ようすけ,自民,,,,和歌山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17161616,堂故 茂,,,どうこ しげる,自民,,,,富山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27150445,徳茂 雅之,,,とくしげ まさゆき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11490337,徳永 エリ [鈴木 エリ],,,とくなが えり,民進,,,,北海道,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11633992,豊田 俊郎,,,とよだ としろう,自民,,,,千葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6782788,那谷屋 正義,,,なたにや まさよし,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q16295188,中泉 松司,,,なかいずみ まつじ,自民,,,,秋田,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q474554,中川 雅治,,,なかがわ まさはる,自民,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q937682,中曽根 弘文,,,なかそね ひろふみ,自民,,,,群馬,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11367021,中西 健治,,,なかにし けんじ,自民,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27150399,中西 哲,,,なかにし さとし,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11367073,中西 祐介,,,なかにし ゆうすけ,自民,,,,徳島・高知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q49955,中野 正志,,,なかの まさし,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q534338,中山 恭子,,,なかやま きょうこ,無所属,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1620315,長浜 博行,,,ながはま ひろゆき,民進,,,,千葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11652175,長峯 誠,,,ながみね まこと,自民,,,,宮崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11659534,難波 奨二,,,なんば しょうじ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7426414,二之湯 智,,,にのゆ さとし,自民,,,,京都,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17212597,二之湯 武史,,,にのゆ たけし,自民,,,,滋賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7554691,仁比 聡平,,,にひ そうへい,共産,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17209891,新妻 秀規,,,にいづま ひでき,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7500159,西田 昌司,,,にしだ しょうじ,自民,,,,京都,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6739963,西田 実仁,,,にしだ まこと,公明,,,,埼玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11644968,野上 浩太郎,,,のがみ こうたろう,自民,,,,富山,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11645955,野田 国義,,,のだ くによし,民進,,,,福岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7706917,野村 哲郎,,,のむら てつろう,自民,,,,鹿児島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q259722,羽田 雄一郎,,,はた ゆういちろう,民進,,,,長野,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11610264,羽生田 俊,,,はにゅうだ たかし,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5517693,長谷川 岳,,,はせがわ がく,自民,,,,北海道,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11667886,馬場 成志,,,ばば せいし,自民,,,,熊本,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q465083,白 眞勲,,,はく しんくん,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q263703,橋本 聖子 [石崎 聖子],,,はしもと せいこ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q360249,鉢呂 吉雄,,,はちろ よしお,民進,,,,北海道,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044181,浜口 誠,,,はまぐち まこと,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6782783,浜田 昌良,,,はまだ まさよし,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17220553,浜野 喜史,,,はまの よしふみ,民進,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1141271,林 芳正,,,はやし よしまさ,自民,,,,山口,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17226328,平木 大作,,,ひらき だいさく,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q982562,平野 達男,,,ひらの たつお,自民,,,,岩手,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11482488,平山 佐知子,,,ひらやま さちこ,民進,,,,静岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7677127,福岡 資麿,,,ふくおか たかまろ,自民,,,,佐賀,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q264290,福島 みずほ [福島 瑞穂],,,ふくしま みずほ,希望,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q507405,福山 哲郎,,,ふくやま てつろう,民進,,,,京都,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11622732,藤井 基之,,,ふじい もとゆき,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11624019,藤川 政人,,,ふじかわ まさひと,自民,,,,愛知,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q27150379,藤木 眞也,,,ふじき しんや,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11624101,藤末 健三,,,ふじすえ けんぞう,無所属,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q359620,藤田 幸久,,,ふじた ゆきひさ,民進,,,,茨城,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11624044,藤巻 健史,,,ふじまき たけし,維新,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8049955,舟山 康江,,,ふなやま やすえ,民進,,,,山形,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7827658,古川 俊治,,,ふるかわ としはる,自民,,,,埼玉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17219667,堀井 巌,,,ほりい いわお,自民,,,,奈良,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q11583092,真山 勇一,,,まやま ゆういち,民進,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17220804,舞立 昇治,,,まいたち しょうじ,自民,,,,鳥取,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7677224,牧野 たかお [牧野 京夫],,,まきの たかお,自民,,,,静岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q5770121,牧山 ひろえ [牧山 弘惠],,,まきやま ひろえ,民進,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q2405954,増子 輝彦,,,ましこ てるひこ,民進,,,,福島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7446732,又市 征治,,,またいち せいじ,希望,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26044243,松川 るい [新居 るい],,,まつかわ るい,自民,,,,大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1725744,松沢 成文,,,まつざわ しげふみ,無ク,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7497735,松下 新平,,,まつした しんぺい,自民,,,,宮崎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q8056019,松村 祥史,,,まつむら よしふみ,自民,,,,熊本,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6782407,松山 政司,,,まつやま まさじ,自民,,,,福岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7680979,丸川 珠代 [大塚 珠代],,,まるかわ たまよ,自民,,,,東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1737580,丸山 和也,,,まるやま かずや,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26045561,三浦 信祐,,,みうら のぶひろ,公明,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17211506,三木 亨,,,みき とおる,自民,,,,徳島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q3545132,三原 じゅん子 [中根 順子],,,みはら じゅんこ,自民,,,,神奈川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17230468,三宅 伸吾,,,みやけ しんご,自民,,,,香川,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q7827654,水落 敏栄,,,みずおち としえい,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6391370,溝手 顕正,,,みぞて けんせい,自民,,,,広島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q28682170,宮崎 勝,,,みやざき まさる,公明,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26043989,宮沢 由佳,,,みやざわ ゆか,民進,,,,山梨,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1313628,宮沢 洋一,,,みやざわ よういち,自民,,,,広島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q26045730,宮島 喜文,,,みやじま よしふみ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17215910,宮本 周司,,,みやもと しゅうじ,自民,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q6444659,室井 邦彦,,,むろい くにひこ,維新,,,比例,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q17232915,元榮 太一郎,,,もとえ たいちろう,自民,,,,千葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q1755981,森 まさこ [三好 雅子],,,もり まさこ,自民,,,,福島,,,,,,,,,,,,,,,,,,,,,,,,,,,,
