松浦　大悟,松浦大悟,松浦,大悟,希望,秋田県 1区,新,47,https://twitter.com/GOGOdai5,https://www.facebook.com/profile.php?id=100005834141082,,元参議院議員,47歳
金田　勝年,金田勝年,金田,勝年,自民,秋田県 2区,前,67,,https://www.facebook.com/kaneda.katsutoshi,http://www.kaneda-k.com/,前法相,67歳
藤本　友里,藤本友里,藤本,友里,共産,秋田県 2区,新,38,https://twitter.com/fupo_cgsm,https://www.facebook.com/yuri.fupo,,党職員,38歳
緑川　貴士,緑川貴士,緑川,貴士,希望,秋田県 2区,新,32,https://twitter.com/green_river15t,https://www.facebook.com/%E7%B7%91%E5%B7%9D%E3%81%9F%E3%81%8B%E3%81%97-353651984803963/,http://midori-kawa.jp/,元民放アナ,32歳
冨岡　昭,冨岡昭,冨岡,昭,共産,秋田県 3区,新,67,,,,政党役員,67歳
御法川　信英,御法川信英,御法川,信英,自民,秋田県 3区,前,53,,https://www.facebook.com/nobu.minorikawa,http://minorikawa.jp/,財金委員長,53歳
村岡　敏英,村岡敏英,村岡,敏英,希望,秋田県 3区,前,57,https://twitter.com/Muraoka_Toshi,https://www.facebook.com/profile.php?id=100004262591354&fref=ts,https://www.muraokatoshihide.jp/index.php,元改結会代表,57歳
赤平　勇人,赤平勇人,赤平,勇人,共産,青森県 1区,前,27,https://twitter.com/akahira1990,https://www.facebook.com/yuto.akahira,,党県委員,27歳
津島　淳,津島淳,津島,淳,自民,青森県 1区,前,50,https://twitter.com/tsushimajun,https://www.facebook.com/jun.tsushima.5?fref=ts,http://juntu.web.fc2.com/,元国交政務官,50歳
升田　世喜男,升田世喜男,升田,世喜男,希望,青森県 1区,前,60,https://twitter.com/sekioisin,https://www.facebook.com/sekio.masuta?fref=ts,http://masuta-sekio.com/main/,安保委理事,60歳
大島　理森,大島理森,大島,理森,自民,青森県 2区,前,70,https://twitter.com/tadamori_oshima,https://www.facebook.com/tadamori.oshima?fref=ts,http://www.morry.jp/index.html,衆院議長,70歳
奥本　菜保巳,奥本菜保巳,奥本,菜保巳,共産,青森県 2区,新,57,https://twitter.com/pekoandnaomi,,,元三沢市議,57歳
工藤　武司,工藤武司,工藤,武司,希望,青森県 2区,新,45,,https://www.facebook.com/dpjkudotakeshi,http://kudotakeshi.sakura.ne.jp/,元陸上自衛官,45歳
木村　次郎,木村次郎,木村,次郎,自民,青森県 3区,新,49,,https://www.facebook.com/jiro.kimura.923,,元青森県職員,49歳
高柳　博明,高柳博明,高柳,博明,共産,青森県 3区,新,47,,https://www.facebook.com/profile.php?id=100016054359692,,党県常任委員,47歳
三国　佑貴,三国佑貴,三国,佑貴,幸福,青森県 3区,新,32,,https://www.facebook.com/profile.php?id=100011203660602,https://ameblo.jp/mikuniyuki/,ＨＳ政経塾生,32歳
山内　崇,山内崇,山内,崇,希望,青森県 3区,新,62,,,http://t-yamauchi.net/,党県幹事長,62歳
大野　隆,大野隆,大野,隆,共産,千葉県 1区,新,48,https://twitter.com/koredeiinoka,https://www.facebook.com/takasi.oono?fref=ts,,党地区職員,48歳
門山　宏哲,門山宏哲,門山,宏哲,自民,千葉県 1区,前,52,,https://www.facebook.com/kadoyama.hiroaki?fref=ts,http://www.kadoyama.net/,弁護士,52歳
田嶋　要,田嶋要,田嶋,要,希望,千葉県 1区,前,55,https://twitter.com/kanametajima,https://www.facebook.com/tajimakaname/,http://www.k-tajima.net/,元経産政務官,55歳
長谷川　豊,長谷川豊,長谷川,豊,維新,千葉県 1区,新,42,https://twitter.com/y___hasegawa,https://www.facebook.com/yutaka.hasegawa.18?fref=ts,https://ameblo.jp/yutaka-hasegawa/,元民放アナ,42歳
上野　洋嗣,上野洋嗣,上野,洋嗣,共産,千葉県 2区,新,40,,https://www.facebook.com/ueno.hirotsugu,https://ameblo.jp/hirotsugu1216/,党県常任委員,40歳
小林　鷹之,小林鷹之,小林,鷹之,自民,千葉県 2区,前,42,https://twitter.com/kobahawk,https://www.facebook.com/hawk.kobayashi/,http://www.kobayashi-takayuki.jp/,元防衛政務官,42歳
竹ケ原　裕美子,竹ケ原裕美子,竹ケ原,裕美子,希望,千葉県 2区,新,,,,,-,歳
樋口　博康,樋口博康,樋口,博康,民主,千葉県 2区,新,58,,,http://www.higuchi-hiroyasu.jp/,元党職員,58歳
藤巻　健太,藤巻健太,藤巻,健太,維新,千葉県 2区,新,33,,,http://fujimaki-kenta.com/,元議員秘書,33歳
